Timestamp,415nm_filtered,415nm_peak,445nm_filtered,445nm_peak,480nm_filtered,480nm_peak,515nm_filtered,515nm_peak,555nm_filtered,555nm_peak,590nm_filtered,590nm_peak,630nm_filtered,630nm_peak,680nm_filtered,680nm_peak,NIR_filtered,NIR_peak,Fused_filtered,Fused_peak
2025-02-22 21:26:29.593,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.059,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.133,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.169,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.212,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.261,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.311,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.362,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.413,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.461,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.511,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:30.562,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-02-22 21:26:31.361,0.8358337574184249,0,0.769717638142163,0,0.7802471766279357,0,0.7441355486864804,0,0.7102949713988629,0,0.7839241663481733,0,,0,0.7930763365869726,0,0.7423436130245058,0,0.6735439299192529,0
2025-02-22 21:26:31.413,0.8272084273635764,0,0.7471979341186948,0,0.7609929307399521,0,0.7198975545590113,0,0.6824346714811784,0,0.7707730600407546,0,,0,0.7693486661994182,0,0.7243490189486611,0,0.6514432189567643,0
2025-02-22 21:26:31.476,0.8105579066991483,0,0.7211962020963669,0,0.7354888929434009,0,0.6907959625616503,0,0.6607352525895126,0,0.7335544964725738,0,,0,0.7329303298238826,0,0.7165475150854161,0,0.6376397444998803,0
2025-02-22 21:26:31.512,0.695559298860371,0,0.6859050364825601,0,0.7011495063296538,0,0.6535575216874242,0,0.6230096757884994,0,0.6008059452600018,0,,0,0.6218521343387989,0,0.6852527474434154,0,0.6046024947732191,0
2025-02-22 21:26:31.561,0.6571489292441927,0,0.6438997595278826,0,0.6619687015041346,0,0.6175652033980454,0,0.6051625579459851,0,0.5290457370895748,0,,0,0.548976125325194,0,0.6236667945522995,0,0.5872504607973473,0
2025-02-22 21:26:31.612,0.5580163362193858,0,0.6429190174300684,0,0.6521565773386037,0,0.6101805955359604,0,0.5646276163473354,0,0.5162569091872498,0,,0,0.5505227914907233,0,0.6013753896889218,0,0.5434938223839689,0
2025-02-22 21:26:31.667,0.5574612738950445,0,0.626210758568647,0,0.6337200279974987,0,0.5834448588099374,0,0.5524729548153454,0,0.5296508379810121,0,,0,0.5703864545775622,0,0.598097066899371,0,0.5270592983492735,0
2025-02-22 21:26:31.711,0.5577569797521933,0,0.615106442070012,0,0.6223660710952693,0,0.5885977832636804,0,0.5683611348875238,0,0.5616763728865226,0,,0,0.6233059674593343,0,0.6398867039368299,0,0.5404528246569117,0
2025-02-22 21:26:31.761,0.6715577948218832,0,0.6884785373284363,0,0.6819467034272824,0,0.6392901317033806,0,0.6235348937661517,0,0.6286997235196878,0,,0,0.6978516000762216,0,0.711143045051208,0,0.5972093080522738,0
2025-02-22 21:26:31.811,0.7042911505894907,0,0.730213479887213,0,0.7065073169921595,0,0.6899572852504355,0,0.6892879214458993,0,0.7031501375622694,0,,0,0.7696880092503837,0,0.7868781420596795,0,0.6664820932685904,0
2025-02-22 21:26:31.862,0.7866599198606442,0,0.7950328956504115,0,0.7899990374552408,0,0.7676652174055828,0,0.7598952536154898,0,0.7610533792553389,0,,0,0.8229363564553636,0,0.8608517527236501,0,0.7399124034384262,0
2025-02-22 21:26:31.913,0.8271049986080329,0,0.8589687799439331,0,0.8426018937648635,0,0.8254754985707113,0,0.8116488645472242,0,0.8044574636445424,0,,0,0.8597532144312059,0,0.9164271882205898,0,0.8041994806822272,0
2025-02-22 21:26:31.961,0.8278647911559777,0,0.8885311135538215,0,0.8713933612535801,0,0.8399243582597227,0,0.8265368668644626,0,0.803640010280448,0,,0,0.8483881928912163,0,0.9255852612510611,0,0.8270137053181689,0
2025-02-22 21:26:32.029,0.8165948973403157,0,0.8711544343606556,0,0.8730734976933667,0,0.8418747884603799,0,0.8206807848928613,0,0.7815239844401148,0,,0,0.8140434078048954,0,0.8964658082852119,0,0.825554762285954,0
2025-02-22 21:26:32.098,0.7811297151203451,0,0.8648932737354578,0,0.8505967744199806,0,0.822782491028049,0,0.7922971386959943,0,0.7306968212186004,0,,0,0.7548367068153435,0,0.8394406750976049,0,0.7967709602085119,0
2025-02-22 21:26:32.166,0.7348077902742559,0,0.8206505498158347,0,0.8160782671813958,0,0.7908150122460488,0,0.7522335118426965,0,0.682000077172868,0,,0,0.7041082512256364,0,0.7838048996427686,0,0.7558366340349744,0
2025-02-22 21:26:32.235,0.66980600966068,0,0.7465759222031202,0,0.7457942809060543,0,0.7167293028030053,0,0.6909034540980071,0,0.6162148826300203,0,,0,0.6474365060023788,0,0.7203264696426472,0,0.6951998507891386,0
