Timestamp,Fused_HR
2025-02-21 09:48:32.031325,75.01
2025-02-21 09:48:32.101044,75.01
2025-02-21 09:48:32.169494,75.01
2025-02-21 09:48:32.238105,74.07
2025-02-21 09:48:32.307268,73.97
2025-02-21 09:48:32.375769,74.49
2025-02-21 09:48:32.444177,74.49
2025-02-21 09:48:32.511019,74.49
2025-02-21 09:48:32.579949,74.49
2025-02-21 09:48:32.650574,74.49
2025-02-21 09:48:32.718965,74.49
2025-02-21 09:48:32.787941,74.49
2025-02-21 09:48:32.857271,74.49
2025-02-21 09:48:32.925853,74.05
2025-02-21 09:48:32.994171,74.05
2025-02-21 09:48:33.062617,74.05
2025-02-21 09:48:33.130844,74.05
2025-02-21 09:48:33.199321,73.43
2025-02-21 09:48:33.267038,73.43
2025-02-21 09:48:33.336046,73.43
2025-02-21 09:48:33.402376,73.43
2025-02-21 09:48:33.473326,73.43
2025-02-21 09:48:33.539699,73.43
2025-02-21 09:48:33.609003,73.43
2025-02-21 09:48:33.677223,71.30
2025-02-21 09:48:33.745760,71.30
2025-02-21 09:48:33.813977,71.30
2025-02-21 09:48:33.882403,72.42
2025-02-21 09:48:33.951121,72.42
2025-02-21 09:48:34.021363,72.42
2025-02-21 09:48:34.087935,72.42
2025-02-21 09:48:34.155876,74.61
2025-02-21 09:48:34.224527,74.61
2025-02-21 09:48:34.292972,74.61
2025-02-21 09:48:34.361244,74.61
2025-02-21 09:48:34.429564,76.10
2025-02-21 09:48:34.497985,76.10
2025-02-21 09:48:34.566329,75.56
2025-02-21 09:48:34.635991,76.10
2025-02-21 09:48:34.703190,75.56
2025-02-21 09:48:34.772533,76.10
2025-02-21 09:48:34.840178,76.10
2025-02-21 09:48:34.908920,76.10
2025-02-21 09:48:34.976910,76.10
2025-02-21 09:48:35.045332,76.10
2025-02-21 09:48:35.113846,76.10
2025-02-21 09:48:35.181611,76.10
2025-02-21 09:48:35.253357,74.62
2025-02-21 09:48:35.323116,73.96
2025-02-21 09:48:35.390135,73.96
2025-02-21 09:48:35.460171,73.96
2025-02-21 09:48:35.526721,73.96
2025-02-21 09:48:35.594899,73.96
2025-02-21 09:48:35.663214,73.96
2025-02-21 09:48:35.730118,73.96
2025-02-21 09:48:35.799062,73.96
2025-02-21 09:48:35.868291,75.85
2025-02-21 09:48:35.936615,76.11
2025-02-21 09:48:36.005088,74.06
2025-02-21 09:48:36.073502,32.42
2025-02-21 09:48:36.141782,32.42
