Timestamp,Fused_HR
2025-02-04 10:56:03.648973,106.13
2025-02-04 10:56:03.715232,106.13
2025-02-04 10:56:03.783499,106.13
2025-02-04 10:56:03.853675,106.13
2025-02-04 10:56:03.919976,107.01
2025-02-04 10:56:03.988165,107.01
2025-02-04 10:56:04.056567,107.01
2025-02-04 10:56:04.126446,105.25
2025-02-04 10:56:04.194241,105.25
2025-02-04 10:56:04.262537,105.25
2025-02-04 10:56:04.330843,105.25
2025-02-04 10:56:04.403558,105.25
2025-02-04 10:56:04.467845,105.48
2025-02-04 10:56:04.535964,105.48
2025-02-04 10:56:04.604246,105.48
2025-02-04 10:56:04.673372,105.56
2025-02-04 10:56:04.742928,105.56
2025-02-04 10:56:04.810755,105.56
2025-02-04 10:56:04.878001,105.56
2025-02-04 10:56:04.953230,105.56
2025-02-04 10:56:05.015563,105.79
2025-02-04 10:56:05.084094,105.79
2025-02-04 10:56:05.152968,105.79
2025-02-04 10:56:05.220579,105.79
2025-02-04 10:56:05.289302,106.35
2025-02-04 10:56:05.357590,106.35
2025-02-04 10:56:05.426164,106.35
2025-02-04 10:56:05.494500,106.35
2025-02-04 10:56:05.562382,106.52
2025-02-04 10:56:05.631691,106.52
2025-02-04 10:56:05.702993,106.52
2025-02-04 10:56:05.769847,106.52
2025-02-04 10:56:05.838961,106.52
2025-02-04 10:56:05.906994,107.10
2025-02-04 10:56:05.975868,107.10
2025-02-04 10:56:06.045593,107.10
2025-02-04 10:56:06.113063,107.95
2025-02-04 10:56:06.181529,107.21
2025-02-04 10:56:06.253351,107.21
2025-02-04 10:56:06.318747,107.95
2025-02-04 10:56:06.386649,107.95
2025-02-04 10:56:06.455239,107.21
2025-02-04 10:56:06.523334,107.09
2025-02-04 10:56:06.591921,107.09
2025-02-04 10:56:06.660302,107.95
2025-02-04 10:56:06.728461,107.95
2025-02-04 10:56:06.803071,107.95
2025-02-04 10:56:06.865063,107.95
2025-02-04 10:56:06.933645,107.95
2025-02-04 10:56:07.003839,107.22
2025-02-04 10:56:07.071705,107.88
2025-02-04 10:56:07.139335,108.73
2025-02-04 10:56:07.207784,108.73
2025-02-04 10:56:07.276467,108.73
2025-02-04 10:56:07.344761,108.73
2025-02-04 10:56:07.413866,108.73
2025-02-04 10:56:07.482196,108.73
2025-02-04 10:56:07.553963,108.73
2025-02-04 10:56:07.619184,108.73
2025-02-04 10:56:07.689344,108.73
2025-02-04 10:56:07.757765,108.73
2025-02-04 10:56:07.825755,108.73
2025-02-04 10:56:07.893389,108.73
2025-02-04 10:56:07.962397,108.73
2025-02-04 10:56:08.030466,108.73
2025-02-04 10:56:08.099416,108.73
2025-02-04 10:56:08.167972,108.73
2025-02-04 10:56:08.236115,109.47
2025-02-04 10:56:08.305545,109.47
2025-02-04 10:56:08.374314,109.47
2025-02-04 10:56:08.442075,109.47
2025-02-04 10:56:08.510505,109.47
2025-02-04 10:56:08.578898,109.47
2025-02-04 10:56:08.648485,109.47
2025-02-04 10:56:08.717902,109.47
2025-02-04 10:56:08.786461,109.47
2025-02-04 10:56:08.854276,110.22
2025-02-04 10:56:08.922750,110.22
2025-02-04 10:56:08.991415,110.22
2025-02-04 10:56:09.059878,110.22
2025-02-04 10:56:09.127922,110.22
2025-02-04 10:56:09.196489,110.22
2025-02-04 10:56:09.264629,109.46
2025-02-04 10:56:09.332870,110.22
2025-02-04 10:56:09.403485,110.17
2025-02-04 10:56:09.470391,111.00
2025-02-04 10:56:09.539793,111.00
