Untitled1.acq
Graph Created on: 2025-02-21 11:01:03.020
Recording on: 2025-02-21 11:05:38.634
0.5 msec/sample
1 channels
PPG, X, PPGED-R
Volts
milliSec	CH1	
	85351 samples	
142.5	-0.0805664	
143	-0.0811768	
143.5	-0.0799561	
144	-0.0802612	
144.5	-0.0799561	
145	-0.0799561	
145.5	-0.0802612	
146	-0.0805664	
146.5	-0.0805664	
147	-0.0805664	
147.5	-0.0808716	
148	-0.0808716	
148.5	-0.0805664	
149	-0.0808716	
149.5	-0.0805664	
150	-0.0808716	
150.5	-0.0808716	
151	-0.0802612	
151.5	-0.0811768	
152	-0.0808716	
152.5	-0.0802612	
153	-0.0808716	
153.5	-0.0814819	
154	-0.0802612	
154.5	-0.0808716	
155	-0.0796509	
155.5	-0.0769043	
156	-0.0762939	
156.5	-0.0756836	
157	-0.0762939	
157.5	-0.0756836	
158	-0.0762939	
158.5	-0.0762939	
159	-0.0753784	
159.5	-0.0759888	
160	-0.0753784	
160.5	-0.0759888	
161	-0.0753784	
161.5	-0.0756836	
162	-0.0765991	
162.5	-0.0759888	
163	-0.0759888	
163.5	-0.0756836	
164	-0.0759888	
164.5	-0.0750732	
165	-0.0720215	
165.5	-0.0717163	
166	-0.0708008	
166.5	-0.071106	
167	-0.071106	
167.5	-0.071106	
168	-0.071106	
168.5	-0.0708008	
169	-0.071106	
169.5	-0.071106	
170	-0.0714111	
170.5	-0.0701904	
171	-0.0671387	
171.5	-0.065918	
172	-0.065918	
172.5	-0.0662231	
173	-0.0656128	
173.5	-0.0656128	
174	-0.0665283	
174.5	-0.0653076	
175	-0.0656128	
175.5	-0.0628662	
176	-0.0610352	
176.5	-0.06073	
177	-0.0610352	
177.5	-0.0613403	
178	-0.0616455	
178.5	-0.0604248	
179	-0.0570679	
179.5	-0.0558472	
180	-0.0561523	
180.5	-0.0564575	
181	-0.0564575	
181.5	-0.0558472	
182	-0.0564575	
182.5	-0.0527954	
183	-0.0518799	
183.5	-0.0509644	
184	-0.0515747	
184.5	-0.0518799	
185	-0.0506592	
185.5	-0.0476074	
186	-0.0460815	
186.5	-0.0463867	
187	-0.0469971	
187.5	-0.0463867	
188	-0.0427246	
188.5	-0.0418091	
189	-0.0418091	
189.5	-0.0411987	
190	-0.0411987	
190.5	-0.0384521	
191	-0.0369263	
191.5	-0.0369263	
192	-0.0372314	
192.5	-0.0360107	
193	-0.0335693	
193.5	-0.0323486	
194	-0.0314331	
194.5	-0.0314331	
195	-0.0286865	
195.5	-0.0271606	
196	-0.0271606	
196.5	-0.0265503	
197	-0.0238037	
197.5	-0.022583	
198	-0.0222778	
198.5	-0.0210571	
199	-0.0189209	
199.5	-0.0170898	
200	-0.0164795	
200.5	-0.0143433	
201	-0.0125122	
201.5	-0.0125122	
202	-0.0119019	
202.5	-0.00915527	
203	-0.00823975	
203.5	-0.00701904	
204	-0.00427246	
204.5	-0.00274658	
205	-0.00244141	
205.5	-0.00183105	
206	0.000610352	
206.5	0.00274658	
207	0.00305176	
207.5	0.00488281	
208	0.00640869	
208.5	0.00732422	
209	0.0106812	
209.5	0.0112915	
210	0.0125122	
210.5	0.0149536	
211	0.0170898	
211.5	0.017395	
212	0.0198364	
212.5	0.0219727	
213	0.0222778	
213.5	0.0244141	
214	0.0262451	
214.5	0.0271606	
215	0.0299072	
215.5	0.0314331	
216	0.0317383	
216.5	0.03479	
217	0.0366211	
217.5	0.0366211	
218	0.0396729	
218.5	0.0411987	
219	0.0411987	
219.5	0.045166	
220	0.0457764	
220.5	0.0491333	
221	0.0518799	
221.5	0.0521851	
222	0.0543213	
222.5	0.0561523	
