Timestamp,415nm_filtered,415nm_peak,445nm_filtered,445nm_peak,480nm_filtered,480nm_peak,515nm_filtered,515nm_peak,555nm_filtered,555nm_peak,590nm_filtered,590nm_peak,630nm_filtered,630nm_peak,680nm_filtered,680nm_peak,NIR_filtered,NIR_peak,Fused_filtered,Fused_peak
2025-03-04 10:41:48.819,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.009,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.059,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.110,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.160,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.211,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.260,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.311,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.361,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.411,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.460,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:49.511,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 10:41:51.602,0.6024263885131571,0,0.5234351575311059,0,0.47408953312731783,0,0.552598392919136,0,0.4742799882509545,0,0.4211192941877469,0,,0,0.355467926397596,0,0.49221750701079786,0,0.3679764550856508,0
2025-03-04 10:41:51.670,0.4605674063504518,0,0.49034238849806433,0,0.46491388529739347,0,0.5628855611955891,0,0.46403517879709555,0,0.44583845790268517,0,,0,0.4490752559008447,0,0.5202226737673925,0,0.3501286506601328,0
2025-03-04 10:41:51.739,0.5375322362226792,0,0.48725548555671677,0,0.5304017622040724,0,0.5484149286831067,0,0.4845092564040149,0,0.4943623198790309,0,,0,0.40141342935691454,0,0.4341549996617798,0,0.333966513890519,0
2025-03-04 10:41:51.807,0.5308538087958912,0,0.487469450774391,0,0.5050275545353219,0,0.5489511524524334,0,0.5385818229158604,0,0.5159021631020702,0,,0,0.523836441167785,0,0.5072103276066827,0,0.3257549733375227,0
2025-03-04 10:41:51.876,0.5176263587209071,0,0.49536934061211,0,0.48300174010455793,0,0.5187749398967858,0,0.42711532335736135,0,0.4723898584038174,0,,0,0.45353396395035134,0,0.4497511281617644,0,0.339156753210416,0
2025-03-04 10:41:51.944,0.5141840524470119,0,0.4421204384447539,0,0.42768708241909925,0,0.4214532657681385,0,0.3909963362220105,0,0.39457290560608693,0,,0,0.4387536692612363,0,0.47005498831457554,0,0.38967938901276866,0
2025-03-04 10:41:52.012,0.538815158207092,0,0.43378196397734053,0,0.3738070453445772,0,0.40736168752264507,0,0.43149922290062254,0,0.42673888286905004,0,,0,0.4288773585314874,0,0.5024767382934038,0,0.47137752664959587,0
2025-03-04 10:41:52.081,0.5625916156142223,0,0.5061894664309815,0,0.4472244500266872,0,0.44034814175730824,0,0.467390206055432,0,0.4451652853914252,0,,0,0.4344087110533722,0,0.519130957370062,0,0.5455801985583771,0
2025-03-04 10:41:52.150,0.595659820634839,0,0.5662577766714992,0,0.4677300674158199,0,0.47658802892135094,0,0.5050304755432525,0,0.4978140680438704,0,,0,0.4620819975432821,0,0.5362587482382535,0,0.5689861196096483,0
2025-03-04 10:41:52.219,0.6239086148190711,0,0.6308699139966567,0,0.5248782176917121,0,0.5327838583821702,0,0.48692299115602206,0,0.4785860095606566,0,,0,0.49872968220690794,0,0.5199659482234497,0,0.5367775717190475,0
2025-03-04 10:41:52.287,0.5649676341201391,0,0.5971484691353008,0,0.5189312191077508,0,0.545345818735099,0,0.4303070795726161,0,0.4399065470613605,0,,0,0.47546446699258565,0,0.46476887091939056,0,0.492738564909802,0
2025-03-04 10:41:52.355,0.5726729469753805,0,0.5419397085938669,0,0.45450520164083513,0,0.49293597668117595,0,0.4767585070754048,0,0.5017780659819859,0,,0,0.5010864816945784,0,0.4773478091434778,0,0.4675219581504465,0
2025-03-04 10:41:52.424,0.4368414031459435,0,0.5146088726817696,0,0.44187118795325275,0,0.5170535785927105,0,0.48337591537433067,0,0.4512882258595422,0,,0,0.3737648013754871,0,0.44811184075727156,0,0.4591542767950532,0
2025-03-04 10:41:52.492,0.39495573960381886,0,0.5569385367297658,0,0.4770328902830645,0,0.5280381659124315,0,0.45215381416434436,0,0.4191320379364481,0,,0,0.36498717882620807,0,0.39455366033197864,0,0.4549798573832543,0
2025-03-04 10:41:52.561,0.3754737451439399,0,0.47227377367545,0,0.4163580683931161,0,0.4519610367080188,0,0.33500889690020136,0,0.3345036374805016,0,,0,0.372857422177498,0,0.36653371277151514,0,0.4505148658244916,0
2025-03-04 10:41:52.630,0.39800675055443413,0,0.447859062073607,0,0.3703055359960522,0,0.4400376999908551,0,0.3498653538912871,0,0.33529522838876713,0,,0,0.3200410609712342,0,0.30422204209564047,0,0.445951639871435,0
2025-03-04 10:41:52.698,0.3920586193821386,0,0.38903633765370754,0,0.4379235355922194,0,0.4581601522890961,0,0.4500791969945163,0,0.4576324415050974,0,,0,0.47177010284539844,0,0.47731170730471745,0,0.44144209611411106,0
2025-03-04 10:41:52.766,0.46061930720984834,0,0.4398221084390071,0,0.5206145628980263,0,0.5334616866662364,0,0.4812036851646965,0,0.5081439584321105,0,,0,0.5679432352966811,0,0.5106798659652818,0,0.4371566580926085,0
2025-03-04 10:41:52.835,0.5567218097634955,0,0.4614574154282925,0,0.5341925205772037,0,0.5976834351058838,0,0.5417933876157235,0,0.5319576744043024,0,,0,0.5396579299589073,0,0.5487261377979822,0,0.4328980025452923,0
2025-03-04 10:41:52.903,0.5404008247002967,0,0.48712373851554935,0,0.5267184513300748,0,0.6008774956787388,0,0.5038118342091945,0,0.47602490253198576,0,,0,0.4737474475978081,0,0.5938227370844311,0,0.42892676212994213,0
2025-03-04 10:41:52.971,0.5092100559458702,0,0.6998005972204395,0,0.5164680273450714,0,0.5880663672737342,0,0.4794861426620987,0,0.4666661177591902,0,,0,0.44094054726725823,0,0.5882104006632288,0,0.42526441430918804,0
2025-03-04 10:41:53.040,0.43921128254149966,0,0.5321376954101843,0,0.4936045520056597,0,0.565575952770421,0,0.5087055177630329,0,0.5203516662697178,0,,0,0.5165555650088626,0,0.5832154275723211,0,0.4219023584033013,0
2025-03-04 10:41:53.108,0.4946830337743886,0,0.548202145471371,0,0.5235897714299409,0,0.5562562224932214,0,0.5135976255895602,0,0.5119731473172457,0,,0,0.4979278820637109,0,0.5806935661810264,0,0.41889559703669793,0
2025-03-04 10:41:53.178,0.4682101014873421,0,0.6288073023953441,0,0.5295463891158445,0,0.5597140738062875,0,0.49456941215059436,0,0.46092528665512955,0,,0,0.4124773832422456,0,0.3949517013246136,0,0.41620301084260236,0
2025-03-04 10:41:53.246,0.4759115564187324,0,0.5593161245942991,0,0.45414307802599374,0,0.4716843081046142,0,0.4080789363581595,0,0.3412360457445962,0,,0,0.4439138461434393,0,0.34801590659130777,0,0.41396919124436654,0
2025-03-04 10:41:53.314,0.5036308662373866,0,0.398483012501608,0,0.40890953670867514,0,0.44889541638516733,0,0.415957415326026,0,0.3956036767315756,0,,0,0.3989691588439704,0,0.3910525789279079,0,0.41207265368611834,0
2025-03-04 10:41:53.383,0.5116272042428485,0,0.35984158883911305,0,0.36988650414663865,0,0.43782626867721186,0,0.44216851650142214,0,0.4053844026645777,0,,0,0.39247046559506193,0,0.3970502867086865,0,0.41055540840770743,0
2025-03-04 10:41:53.451,0.5378067461021425,0,0.43052726930868035,0,0.4507509351541724,0,0.49750902334559305,0,0.47432422875229646,0,0.4368387857057547,0,,0,0.4303769464860924,0,0.39268321860666133,0,0.4094117431969362,0
2025-03-04 10:41:53.519,0.5570916000248244,0,0.4400880795842647,0,0.445057122840046,0,0.5019751776795797,0,0.5067051483643563,0,0.4672758683833399,0,,0,0.4427658644359413,0,0.3981158580815264,0,0.4086315541923412,0
2025-03-04 10:41:53.588,0.5581309163200979,0,0.42993843148465916,0,0.4650238451475535,0,0.5205465305962507,0,0.4981444775747588,0,0.4779357021451469,0,,0,0.5115349054138669,0,0.49283191228962875,0,0.408205772281497,0
2025-03-04 10:41:53.657,0.5177599441035536,0,0.6627146396059886,0,0.48232503451737463,0,0.5577477055632613,0,0.46803692278269193,0,0.4497546763832337,0,,0,0.46096262860043397,0,0.47594797337666456,0,0.40814851470612856,0
2025-03-04 10:41:53.725,0.48381249507243274,0,0.621615480645696,0,0.5076878892996323,0,0.5365515952666812,0,0.47349779942648146,0,0.48487760135830743,0,,0,0.6210695759792101,0,0.49235087778446596,0,0.40839144886142165,0
