175910,90,125,122,107,99,111,127,115,1273,1530,8
175910,3,3,4,3,3,7,17,29,56,70,9
176643,44,40,45,39,49,72,1316,1033,146,1156,0
176643,27,24,29,27,23,233,1118,131,134,797,1
176643,27,20,36,23,168,1181,243,61,134,859,2
176643,26,20,34,138,226,377,415,241,132,804,3
176643,18,13,29,415,378,97,59,56,100,614,4
176643,11,24,301,108,21,17,33,49,82,361,5
176643,13,213,111,20,16,19,36,52,74,309,6
176643,39,13,9,12,13,21,36,48,68,146,7
176643,89,125,121,109,100,114,132,122,1283,1530,8
176643,4,4,4,4,4,7,21,37,68,85,9
177375,45,40,45,39,50,74,1316,1039,158,1167,0
177375,27,24,29,28,24,233,1117,137,139,804,1
177375,27,19,37,23,171,1177,245,65,139,867,2
177375,25,21,35,139,227,377,417,246,136,808,3
177375,18,13,29,411,376,97,60,57,102,613,4
177375,11,24,302,109,21,17,34,49,80,362,5
177375,13,217,112,19,16,21,37,53,74,316,6
177375,40,13,9,12,13,21,37,49,70,149,7
177375,90,126,123,108,101,114,133,123,1295,1530,8
177375,4,4,4,4,4,8,22,37,66,85,9
178108,45,40,46,39,50,74,1312,1037,159,1164,0
178108,27,24,29,27,23,231,1112,136,141,802,1
178108,27,20,37,23,168,1170,243,65,137,863,2
178108,25,21,35,139,228,377,415,245,137,810,3
178108,18,13,30,417,382,98,60,57,100,620,4
178108,11,24,306,110,21,18,34,49,84,366,5
178108,14,219,113,20,16,20,38,54,76,319,6
178108,40,13,9,13,14,21,37,49,70,150,7
178108,91,127,123,109,100,115,133,123,1297,1530,8
178108,4,4,4,3,4,8,21,37,66,84,9
178840,45,41,46,40,50,73,1315,1038,159,1165,0
178840,27,24,29,27,23,230,1114,135,139,803,1
178840,27,20,37,23,171,1176,245,65,138,865,2
178840,26,21,34,140,229,376,414,244,135,809,3
178840,18,14,30,417,383,98,60,57,102,620,4
178840,11,24,307,109,21,17,34,49,80,364,5
178840,13,219,113,19,16,20,37,53,74,318,6
178840,40,13,9,12,13,20,37,48,68,149,7
178840,90,126,123,109,101,114,133,122,1294,1530,8
178840,4,3,4,4,4,7,21,36,66,83,9
179573,45,41,46,39,50,73,1315,1038,158,1164,0
179573,26,24,29,27,23,233,1113,137,140,801,1
179573,27,20,37,23,172,1177,244,64,138,864,2
179573,25,21,34,140,229,377,414,245,135,809,3
179573,18,13,30,418,382,97,59,57,100,619,4
179573,11,25,306,109,21,16,34,48,82,363,5
179573,13,219,114,20,16,21,37,52,74,318,6
179573,40,13,9,12,13,20,37,48,68,148,7
179573,90,126,123,109,100,114,132,121,1294,1530,8
179573,4,4,4,4,4,8,21,36,64,82,9
180305,45,40,46,39,50,73,1316,1038,154,1164,0
180305,27,24,29,27,23,230,1115,135,140,801,1
