Untitled1.acq
Graph Created on: 2024-11-12 11:02:41.566
Recording on: 2024-11-12 11:03:42.061
0.5 msec/sample
1 channels
ppg - PPG, X, PPGED-R
Volts
milliSec	CH1	
	51309 samples	
163	0.674744	
163.5	0.676575	
164	0.679016	
164.5	0.679932	
165	0.681458	
165.5	0.683899	
166	0.68512	
166.5	0.686646	
167	0.688782	
167.5	0.689392	
168	0.691528	
168.5	0.69397	
169	0.69458	
169.5	0.694275	
170	0.696411	
170.5	0.698547	
171	0.699463	
171.5	0.701294	
172	0.70343	
172.5	0.704346	
173	0.704041	
173.5	0.706177	
174	0.708618	
174.5	0.709534	
175	0.709534	
175.5	0.710754	
176	0.713196	
176.5	0.714722	
177	0.714417	
177.5	0.715637	
178	0.718994	
178.5	0.719299	
179	0.718994	
179.5	0.720825	
180	0.723267	
180.5	0.724182	
181	0.723877	
181.5	0.724487	
182	0.725708	
182.5	0.728455	
183	0.729065	
183.5	0.729675	
184	0.729065	
184.5	0.730896	
185	0.733032	
185.5	0.734253	
186	0.734558	
186.5	0.734558	
187	0.733643	
187.5	0.735779	
188	0.73822	
188.5	0.739136	
189	0.739441	
189.5	0.738525	
190	0.739136	
190.5	0.740967	
191	0.742798	
191.5	0.744019	
192	0.744019	
192.5	0.744629	
193	0.744019	
193.5	0.743713	
194	0.743103	
194.5	0.745239	
195	0.747681	
195.5	0.748291	
196	0.748901	
196.5	0.748596	
197	0.749512	
197.5	0.748901	
198	0.748596	
198.5	0.749512	
199	0.749207	
199.5	0.748901	
200	0.750122	
200.5	0.753174	
201	0.753479	
201.5	0.754089	
202	0.754395	
202.5	0.753479	
203	0.754089	
203.5	0.753479	
204	0.753174	
204.5	0.754089	
205	0.754089	
205.5	0.753479	
206	0.753479	
206.5	0.754395	
207	0.754089	
207.5	0.753479	
208	0.753479	
208.5	0.754089	
209	0.754089	
209.5	0.753479	
210	0.753174	
210.5	0.753784	
211	0.753784	
211.5	0.754089	
212	0.753174	
212.5	0.754089	
213	0.753784	
213.5	0.753784	
214	0.753479	
214.5	0.753479	
215	0.753479	
215.5	0.753784	
216	0.754089	
216.5	0.754089	
217	0.754089	
217.5	0.753784	
218	0.753784	
218.5	0.753784	
219	0.753784	
219.5	0.753479	
220	0.752869	
220.5	0.753784	
221	0.753479	
221.5	0.752869	
222	0.751038	
222.5	0.749207	
223	0.748596	
223.5	0.748901	
224	0.748901	
224.5	0.749207	
225	0.748901	
225.5	0.748291	
226	0.748901	
226.5	0.749207	
227	0.748901	
227.5	0.748901	
228	0.748291	
228.5	0.745544	
229	0.744934	
229.5	0.743713	
230	0.744324	
230.5	0.744934	
231	0.744324	
231.5	0.744324	
232	0.744019	
232.5	0.743713	
233	0.740051	
233.5	0.739746	
234	0.739136	
234.5	0.739136	
235	0.738831	
235.5	0.739136	
236	0.739441	
236.5	0.738525	
237	0.736084	
237.5	0.734558	
238	0.733337	
238.5	0.733643	
239	0.733948	
239.5	0.733948	
240	0.733337	
240.5	0.730591	
241	0.72998	
241.5	0.72937	
242	0.72937	
242.5	0.72937	
243	0.72937	
243.5	0.729675	
244	0.726318	
244.5	0.724792	
245	0.724487	
245.5	0.723877	
246	0.724487	
246.5	0.724182	
247	0.721741	
247.5	0.719604	
248	0.719299	
248.5	0.718994	
249	0.719299	
249.5	0.719299	
250	0.715942	
250.5	0.715027	
251	0.714111	
251.5	0.715027	
252	0.714417	
252.5	0.71167	
253	0.710144	
253.5	0.708923	
254	0.709534	
254.5	0.709229	
255	0.707092	
255.5	0.705566	
256	0.704956	
256.5	0.704041	
257	0.704346	
257.5	0.704346	
258	0.701904	
258.5	0.699768	
259	0.699768	
259.5	0.699158	
260	0.699463	
260.5	0.696411	
261	0.696106	
261.5	0.69458	
262	0.694275	
262.5	0.692139	
263	0.689697	
263.5	0.689697	
264	0.689392	
264.5	0.689392	
265	0.687256	
265.5	0.684814	
266	0.684814	
266.5	0.684814	
267	0.682678	
267.5	0.680542	
268	0.680237	
268.5	0.679932	
269	0.679016	
269.5	0.677185	
270	0.675354	
270.5	0.675354	
271	0.675049	
271.5	0.672302	
272	0.670776	
272.5	0.670471	
273	0.670471	
273.5	0.667419	
274	0.664978	
274.5	0.665283	
275	0.665283	
275.5	0.665283	
276	0.662537	
276.5	0.661621	
277	0.6604	
277.5	0.6604	
278	0.657959	
278.5	0.656128	
279	0.655212	
279.5	0.655212	
280	0.652771	
280.5	0.651245	
281	0.65033	
281.5	0.649719	
282	0.648193	
282.5	0.646667	
283	0.645752	
283.5	0.643311	
284	0.641174	
284.5	0.640564	
285	0.639954	
285.5	0.638123	
286	0.635986	
286.5	0.635071	
287	0.635071	
287.5	0.633545	
288	0.631104	
288.5	0.630798	
289	0.630493	
289.5	0.629272	
290	0.626526	
290.5	0.62561	
291	0.623474	
291.5	0.621338	
292	0.620728	
292.5	0.620117	
293	0.618896	
293.5	0.617371	
294	0.616455	
294.5	0.613403	
295	0.611877	
295.5	0.610962	
296	0.610962	
296.5	0.609131	
297	0.606689	
297.5	0.606384	
298	0.604553	
298.5	0.602112	
299	0.601501	
299.5	0.601196	
300	0.59967	
300.5	0.597534	
301	0.596619	
